colname,null_count,null_prop
sex_at_birth,0,0
state,0,0
eval_type,855,0.0019731239744947763
has_diabetes,984,0.0022708233811729356
good_health,1262,0.002912377141301062
stroke,1474,0.0034016195770822225
asthma_ever,1701,0.00392547822294224
kidney_disease,1892,0.0043662579646130024
high_bp,1919,0.004428567142754943
bronchitis,2066,0.004767806001527729
education,2325,0.005365512562222638
cancer,2337,0.005393205530285722
arthritis,2560,0.005907833186791377
depression,2587,0.005970142364933317
michd,4585,0.0105810215474369
age_category,7779,0.01795196654689458
urb_rural,8323,0.019207381099087747
race,9570,0.022085142030309955
blind,15710,0.0362547106892549
height,22118,0.051042755634942066
smoker,23062,0.053221269122571385
ecigs,23251,0.053657433369564966
heavy_drinking,32825,0.07575180638922928
binge_drinking,33409,0.07709953083496607
covid,34094,0.07868033776190048
obese,40535,0.09354453836976112
chol_check,55084,0.12711995439891258
chol_meds,55651,0.12842844713989335
physical_activity,84981,0.19611467658074924
income,86623,0.19990399771071465
prediabetic,268133,0.6187832171382548
high_bs,278618,0.642979947983375
pregnant,357564,0.8251673693757313
asthma_now,370898,0.8559388723884954
age_onset,378104,0.8725684997103778
insulin,409174,0.9442702095203809
a1c_check,410675,0.947734138275605
diab_type,411296,0.9491672493728697
cncrage,416694,0.9616244695065805
cncrtyp2,416717,0.9616775476953682
